SLD,hostname
annaschmidt.schule.,ns1028.ui-dns.biz.
annaschmidt.schule.,ns1041.ui-dns.de.
annaschmidt.schule.,ns1066.ui-dns.com.
annaschmidt.schule.,ns1066.ui-dns.org.
annie-heuser.schule.,ns1.bdm.microsoftonline.com.
annie-heuser.schule.,ns2.bdm.microsoftonline.com.
annie-heuser.schule.,ns3.bdm.microsoftonline.com.
annie-heuser.schule.,ns4.bdm.microsoftonline.com.
annweiler.schule.,ns-de.1and1-dns.biz.
annweiler.schule.,ns-de.1and1-dns.com.
annweiler.schule.,ns-de.1and1-dns.de.
annweiler.schule.,ns-de.1and1-dns.org.
anonyme.schule.,curitiba.ns.porkbun.com.
anonyme.schule.,fortaleza.ns.porkbun.com.
anonyme.schule.,maceio.ns.porkbun.com.
anonyme.schule.,salvador.ns.porkbun.com.
anorak.schule.,ns1021.ui-dns.de.
anorak.schule.,ns1033.ui-dns.biz.
anorak.schule.,ns1072.ui-dns.com.
anorak.schule.,ns1101.ui-dns.org.
anschluss-finden.schule.,ns69.domaincontrol.com.
anschluss-finden.schule.,ns70.domaincontrol.com.
ant.schule.,ns.udag.de.
ant.schule.,ns.udag.net.
ant.schule.,ns.udag.org.
